 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Ano e Sexo
Unidade da Federação: Paraíba
Período:2007-2020
"Ano";"Masculino";"Feminino";"Total"
"2007";1824733;1936000;3760733
"2008";1837553;1950965;3788518
"2009";1849875;1965741;3815616
"2010";1861223;1979573;3840796
"2011";1869634;1990179;3859813
"2012";1876227;1999146;3875373
"2013";1882569;2007925;3890494
"2014";1891174;2018885;3910059
"2015";1901265;2031272;3932537
"2016";1910681;2043012;3953693
"2017";1919893;2054544;3974437
"2018";1929789;2066707;3996496
"2019";1939480;2078647;4018127
"2020";1948943;2090334;4039277
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

